"latitude","longitude","survey_date","class","order","family","genus","species","valid_genus","valid_species","biomass_mean","size_class_mean","total_mean","bodySize","ref_bodysize"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Kyphosidae","Scorpis","lineolata","Scorpis","lineolata",36.9,11.2,1.5,30,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Odacidae","Siphonognathus","beddomei","Siphonognathus","beddomei",8.8,5.4,2.9,12,"Fishbase2022"
-43.3,147.2,2022-03-04,"Actinopterygii","Perciformes","Plesiopidae","Trachinops","caudimaculatus","Trachinops","caudimaculatus",185.3,5.2,71.7,15,"Fishbase2022"
-43.3,147.1,2021-03-27,"Actinopterygii","Perciformes","Serranidae","Caesioperca","rasor","Caesioperca","rasor",576.9,14.8,3.3,25,"Fishbase2022"
-43.3,147.1,2021-03-27,"Actinopterygii","Perciformes","Labridae","Dotalabrus","aurantiacus","Dotalabrus","aurantiacus",11.2,7.5,1,11.1,"Fishbase2022"
-43.3,147.1,2021-03-27,"Actinopterygii","Perciformes","Latridae","Latridopsis","forsteri","Latridopsis","forsteri",370.8,30,1,65,"Fishbase2022"
-43.3,147.1,2021-03-27,"Actinopterygii","Perciformes","Odacidae","Neoodax","balteatus","Neoodax","balteatus",18.2,7.9,1.4,14,"Fishbase2022"
-43.3,147.1,2021-03-27,"Actinopterygii","Perciformes","Labridae","Notolabrus","fucicola","Notolabrus","fucicola",379.7,30,1,38,"Fishbase2022"
-43.3,147.1,2021-03-27,"Actinopterygii","Perciformes","Labridae","Notolabrus","tetricus","Notolabrus","tetricus",330,21.9,2,50,"Fishbase2022"
-43.3,147.1,2021-03-27,"Actinopterygii","Perciformes","Odacidae","Olisthops","cyanomelas","Olisthops","cyanomelas",531.7,40,1,35,"Fishbase2022"
-43.3,147.1,2021-03-27,"Actinopterygii","Perciformes","Gerreidae","Parequula","melbournensis","Parequula","melbournensis",349.7,12.5,10.7,22,"Fishbase2022"
-43.3,147.1,2021-03-27,"Actinopterygii","Perciformes","Labridae","Pictilabrus","laticlavius","Pictilabrus","laticlavius",118.5,18.1,1.1,23,"Fishbase2022"
-43.3,147.1,2021-03-27,"Actinopterygii","Gadiformes","Moridae","Pseudophycis","bachus","Pseudophycis","bachus",52.5,15,1,90,"Fishbase2022"
-43.3,147.1,2021-03-27,"Actinopterygii","Perciformes","Plesiopidae","Trachinops","caudimaculatus","Trachinops","caudimaculatus",616.4,6.4,96.2,15,"Fishbase2022"
-43.3,147.1,2022-03-04,"Actinopterygii","Tetraodontiformes","Monacanthidae","Acanthaluteres","vittiger","Acanthaluteres","vittiger",410.8,25,1,35,"Fishbase2022"
-43.3,147.1,2022-03-04,"Actinopterygii","Perciformes","Aplodactylidae","Aplodactylus","arctidens","Aplodactylus","arctidens",552.3,40,1,65,"Fishbase2022"
-43.3,147.1,2022-03-04,"Actinopterygii","Perciformes","Serranidae","Caesioperca","rasor","Caesioperca","rasor",420.1,10.9,4.6,25,"Fishbase2022"
-43.3,147.1,2022-03-04,"Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium","laticeps","Cephaloscyllium","laticeps",1036.6,75,1,150,"Fishbase2022"
-43.3,147.1,2022-03-04,"Actinopterygii","Anguilliformes","Congridae","Conger","verreauxi","Conger","verreauxi",136.7,50,1,200,"Fishbase2022"
-43.3,147.1,2022-03-04,"Actinopterygii","Perciformes","Dinolestidae","Dinolestes","lewini","Dinolestes","lewini",73.3,16.4,1.1,84,"Fishbase2022"
-43.3,147.1,2022-03-04,"Actinopterygii","Tetraodontiformes","Diodontidae","Diodon","nicthemerus","Diodon","nicthemerus",421.5,25,1,40,"Fishbase2022"
-43.3,147.1,2022-03-04,"Actinopterygii","Perciformes","Labridae","Dotalabrus","aurantiacus","Dotalabrus","aurantiacus",5.9,5,1,11.1,"Fishbase2022"
-43.3,147.1,2022-03-04,"Actinopterygii","Perciformes","Kyphosidae","Girella","zebra","Girella","zebra",597.5,25,2,34,"Fishbase2022"
-43.3,147.1,2022-03-04,"Actinopterygii","Perciformes","Latridae","Latridopsis","forsteri","Latridopsis","forsteri",263.4,25,1,65,"Fishbase2022"
-43.3,147.1,2022-03-04,"Actinopterygii","Gadiformes","Moridae","Lotella","rhacina","Lotella","rhacina",287.4,30,1,50,"Fishbase2022"
-43.3,147.1,2022-03-04,"Actinopterygii","Tetraodontiformes","Monacanthidae","Meuschenia","australis","Meuschenia","australis",302.4,20,1,30,"Fishbase2022"
-43.3,147.1,2022-03-04,"Actinopterygii","Perciformes","Odacidae","Neoodax","balteatus","Neoodax","balteatus",14.1,6.7,1.8,14,"Fishbase2022"
-43.3,147.1,2022-03-04,"Actinopterygii","Perciformes","Labridae","Notolabrus","fucicola","Notolabrus","fucicola",200.6,21.5,1,38,"Fishbase2022"
-43.3,147.1,2022-03-04,"Actinopterygii","Perciformes","Labridae","Notolabrus","tetricus","Notolabrus","tetricus",151.7,16.2,2.4,50,"Fishbase2022"
